id,source,prefecture,region,agency,agency_type,title,category,bid_method,announced_date,deadline,budget,spec_status,spec_reason,winner,win_price,detail_url,external_id
7098,京都府入札情報公開,京都府,近畿,入札課担当案件 入札課,都道府県,京都府立府民ホールALTI・京都府公館照明LED化改修工事,電気工事,一般競争入札,2026-05-20,2026-05-26,,available,,,,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/PPI_P/PiCtBaFi02/PiCtBaFi02start.vm,KYOTO-18-京都府立府民ホールALTI・京都府公
5127,官公需API,京都府,近畿,京都府綾部市,地方公共団体,小学校空調設備改修工事（電気A・B）,電気工事,,2026-05-18,,,unknown,,,,https://www.city.ayabe.lg.jp/cmsfiles/contents/0000004/4172/koukoku-syougakkoukuucyou.pdf,KKJ-a3lvdG8vYXlhYmVfY2l0eS8yMDI2LzIwMjYwNTE4XzAwNzE0Cg==
5128,官公需API,京都府,近畿,京都府綾部市,地方公共団体,中学校空調設備改修工事（電気A・B）,電気工事,,2026-05-18,,,unknown,,,,https://www.city.ayabe.lg.jp/cmsfiles/contents/0000004/4172/koukoku-cyuugakkoukuucyou.pdf,KKJ-a3lvdG8vYXlhYmVfY2l0eS8yMDI2LzIwMjYwNTE4XzAwNzEzCg==
7099,京都府入札情報公開,京都府,近畿,建設交通部 京都府南丹土木事務所,都道府県,国道１７３号他道路維持修繕工事＜南丹８道維修第２３号＞,電気工事,指名競争入札,2026-05-18,2026-05-18,,available,,,,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/PPI_P/PiCtBaFi02/PiCtBaFi02start.vm,KYOTO-19-国道１７３号他道路維持修繕工事＜南丹
7100,京都府入札情報公開,京都府,近畿,建設交通部 京都府南丹土木事務所,都道府県,国道４７７号他道路維持修繕工事＜南丹８道維修第２２号＞,電気工事,指名競争入札,2026-05-18,2026-05-18,,available,,,,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/PPI_P/PiCtBaFi02/PiCtBaFi02start.vm,KYOTO-20-国道４７７号他道路維持修繕工事＜南丹
7101,京都府入札情報公開,京都府,近畿,建設交通部 京都府南丹土木事務所,都道府県,国道３７２号他道路維持修繕工事＜南丹８道維修第２１号＞,電気工事,指名競争入札,2026-05-18,2026-05-18,,available,,,,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/PPI_P/PiCtBaFi02/PiCtBaFi02start.vm,KYOTO-21-国道３７２号他道路維持修繕工事＜南丹
7102,京都府入札情報公開,京都府,近畿,京都府公立大学法人京都府立医科大学事務局 大学整備室施設課,都道府県,（仮称）京都ハウス新築工事（電気設備工事）,電気工事,一般競争入札,2026-05-18,2026-05-27,,available,,,,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/PPI_P/PiCtBaFi02/PiCtBaFi02start.vm,KYOTO-22-（仮称）京都ハウス新築工事（電気設備
5138,官公需API,京都府,近畿,京都府舞鶴市,地方公共団体,陶芸館高圧受変電設備改修工事,電気工事,,2026-05-14,,,unknown,,,,https://www.city.maizuru.kyoto.jp/shigoto/category/./.././cmsfiles/contents/0000015/15084/20260514-26koukokugaiyou.pdf,KKJ-a3lvdG8vbWFpenVydV9jaXR5LzIwMjYvMjAyNjA1MTRfMDA4MjgK
5139,官公需API,京都府,近畿,京都府舞鶴市,地方公共団体,赤れんが博物館高圧受変電設備改修工事,電気工事,,2026-05-14,,,unknown,,,,https://www.city.maizuru.kyoto.jp/shigoto/category/./.././cmsfiles/contents/0000015/15084/20260514-16koukokugaiyou.pdf,KKJ-a3lvdG8vbWFpenVydV9jaXR5LzIwMjYvMjAyNjA1MTRfMDA4MjIK
5140,官公需API,京都府,近畿,京都府舞鶴市,地方公共団体,勤労者福祉センター高圧受変電設備改修工事,電気工事,,2026-05-14,,,unknown,,,,https://www.city.maizuru.kyoto.jp/shigoto/category/./.././cmsfiles/contents/0000015/15084/20260514-15koukokugaiyou.pdf,KKJ-a3lvdG8vbWFpenVydV9jaXR5LzIwMjYvMjAyNjA1MTRfMDA4MjEK
7103,京都府入札情報公開,京都府,近畿,建設交通部 京都府中丹西土木事務所,都道府県,管内一円 道路維持修繕（小修繕）工事（中西８道維修（小修繕）第９９９号の１の１２）,電気工事,指名競争入札,2026-05-14,2026-05-14,,available,,,,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/PPI_P/PiCtBaFi02/PiCtBaFi02start.vm,KYOTO-23-管内一円 道路維持修繕（小修繕）工事
7104,京都府入札情報公開,京都府,近畿,建設交通部 京都府中丹東土木事務所,都道府県,小浜綾部線ほか小修繕（電気）工事（中東８小修繕第２－４号）,電気工事,一般競争入札,2026-05-12,2026-05-15,,available,,,,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/PPI_P/PiCtBaFi02/PiCtBaFi02start.vm,KYOTO-24-小浜綾部線ほか小修繕（電気）工事（中
7105,京都府入札情報公開,京都府,近畿,建設交通部 京都府中丹東土木事務所,都道府県,国道１７５号ほか小修繕（電気）工事（中東８小修繕第１－５号）,電気工事,一般競争入札,2026-05-12,2026-05-15,,available,,,,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/PPI_P/PiCtBaFi02/PiCtBaFi02start.vm,KYOTO-25-国道１７５号ほか小修繕（電気）工事（
